gene,log2fold,p_mwu,p_wilcoxon,p_student,p_corr,interesting
1700013N18Rik,0.0868205128205144,0.007290896341037,0.0106432508291618,0.00620627573677548,0.0179770549457994,FALSE
1700014D04Rik,0.224461538461537,5.70E-06,1.72E-06,1.56E-06,3.89E-05,TRUE
1700014N06Rik,0.136000000000001,0.00219065878467857,0.00408722642896464,0.00184314810635717,0.00640415202753055,FALSE
1700015E13Rik,0.000794871794872698,0.976081981146072,0.79851127315851,0.982363856701934,0.984514346093612,FALSE
1700016C15Rik,-0.0318205128205156,0.242297842555917,0.426538607945986,0.305633160322222,0.335461482124284,FALSE
1700016D06Rik,-0.00423076923076771,0.756712515202746,0.863076299236127,0.880728022618952,0.818898515703258,FALSE
1700016D18Rik,-0.0152051282051273,0.79114199616923,0.830654113266064,0.793551023104745,0.846504319769925,FALSE
1700016G05Rik,0.116358974358976,0.0122999056724423,0.00163512193103088,0.00572876599223465,0.0280393003206147,FALSE
1700016H13Rik,-0.0707948717948703,0.0744421445372245,0.0928786774929904,0.0764320356976264,0.126726253229888,FALSE
1700016K19Rik,-0.0728461538461538,0.0286265020128935,0.0848496091239213,0.0834569330385567,0.0572249741674434,FALSE
1700016M24Rik,-0.0546153846153876,0.265139589055979,0.493927864990837,0.184516477754517,0.361053302675476,FALSE
1700017B05Rik,0.0516923076923082,0.228490732058891,0.123994226047216,0.122848812288327,0.319900019142225,FALSE
1700017D01Rik,-0.214358974358976,1.73E-09,6.33E-09,4.91E-11,4.15E-08,TRUE
1700017G19Rik,0.247641025641027,2.95E-07,9.68E-06,2.65E-07,3.13E-06,TRUE
1700017N19Rik,-0.0860769230769254,0.00936698630270402,0.0268039416623651,0.0171653712599187,0.0222293910014019,FALSE
1700018A04Rik,-0.134205128205128,0.00215421675662787,0.00261549898641533,0.00146919757647036,0.00632298416707705,FALSE
1700018A14Rik,0.0868205128205153,0.0644817802317493,0.0290637187619931,0.0628683597585447,0.112435645516357,FALSE
1700018B08Rik,0.13074358974359,0.000923304455573229,0.00124634156964021,0.00116434885779163,0.00305968642834078,FALSE
1700018B24Rik,-0.0454358974358975,0.308039560332982,0.289213247175212,0.237119577082632,0.406517839079424,FALSE
1700018C11Rik,0.275717948717948,8.14E-07,6.96E-08,4.02E-08,7.50E-06,TRUE
1700018F24Rik,0.0392820512820506,0.447546693244212,0.485211328577861,0.35330412846025,0.546886084923864,FALSE
1700018L24Rik,0.120512820512818,0.0027621652586451,0.00181880906529841,0.0025825656586317,0.00783780096458943,FALSE
1700019A02Rik,0.190076923076923,2.98E-06,6.86E-06,1.91E-06,2.26E-05,FALSE
1700019B03Rik,-0.0406153846153865,0.211590362849498,0.322156130601798,0.268375050661759,0.300528673936601,FALSE
1700019D03Rik,0.0684615384615368,0.13257056134498,0.0798085248061398,0.109644377727086,0.205336827887089,FALSE
1700019E19Rik,-0.0768461538461587,0.00546529025446505,0.0059656171615643,0.00347800354927575,0.0140572869442912,FALSE
1700019G17Rik,0.129128205128206,0.16328911236792,0.011384153583424,0.0976762177463146,0.243643288385102,FALSE
1700019M22Rik,0.0832051282051269,0.033699647600737,0.0148842069174862,0.0298648830957704,0.0654603641341041,FALSE
1700019N12Rik,0.0266923076923078,0.339879107295144,0.293061690894511,0.540117932006746,0.439511647381015,FALSE
1700019N19Rik,0.121948717948721,0.00923287451794896,0.000890523271664279,0.0051170269884593,0.0219799187853702,FALSE
